model,modbus_address,parameter,parameter_manual_reference,unit,register_length,data_type,r_w,indb,setup_read,setup_write,timestamp,read_command,write_command,value_weight,address
EM330DINAV53HS1X,6,voltage_l1-l2,V L1-L2,V,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,8,voltage_l2-l3,V L2-L3,V,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,10,voltage_l3-l1,V L3-L1,V,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,12,current_l1,A L1,A,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,14,current_l2,A L2,A,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,16,current_l3,A L3,A,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,18,watts_l1,W L1,W,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,20,watts_l2,W L2,W,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,22,watts_l3,W L3,W,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,24,va_l1,VA L1,VA,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,26,va_l2,VA L2,VA,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,28,va_l3,VA L3,VA,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,30,var_l1,VAR L1,VAR,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,32,var_l2,VAR L2,VAR,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,34,var_l3,VAR L3,VAR,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,36,voltage_ln,V L-N sys,V,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,38,voltage_ll,V L-L sys,V,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,40,watts,W sys,W,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,42,va,VA sys,VA,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,44,var,VAR sys,VAR,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,46,pf_l1,PF L1,NULL,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,47,pf_l2,PF L2,NULL,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,48,pf_l3,PF L3,NULL,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,49,power_factor,PF sys,NULL,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,50,phase_sequence,Phase sequence,NULL,1,int16,r,f,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,51,frequency,Hz,Hz,1,int16,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,52,kwh_imported_total,kWh (+) TOT,kWh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,54,varh_imported_total,Kvarh (+) TOT,kVARh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,56,kw_dmd,kW dmd,W,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,58,kw_dmd_peak,kW dmd peak,W,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,60,kwh_imported_partial,kWh (+) partial,kWh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,62,varh_imported_partial,Kvarh (+) PARTIAL,kVARh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,64,kwh_imported_l1,kWh (+) L1,kWh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,66,kwh_imported_l2,kWh (+) L2,kWh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,68,kwh_imported_l3,kWh (+) L3,kWh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,70,kwh_imported_tariff1,kWh (+) t1,kWh,1,int32,r,f,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,72,kwh_imported_tariff2,kWh (+) t2,kWh,1,int32,r,f,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,74,kwh_imported_tariff3,kWh (+) t3,kWh,1,int32,r,f,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,76,kwh_imported_tariff4,kWh (+) t4,kWh,1,int32,r,f,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,78,kwh_exported_total,kWh (-) TOT,kWh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,80,varh_exported_total,kvarh (-) TOT,kVARh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,82,kwh_exported_partial,kWh (-) PARTIAL,kWh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,84,varh_exported_partial,Kvarh (-) PARTIAL,Kvarh ,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
