serial,modbus_address,parameter_description,standard,data_type,data_range,model,mod_default,register_number,indb,setup
88,"[[5637, 5638]]",Input_active_power_rate1_max_demand_and_occur_time,none,Float ,Xx.xxxx kw ,"3,4",none,2,t,f
89,"[[5639, 5641]]",Input_active_power_rate1_max_demand_occur_time,none,Dword,YYMMDDhhmmss (Second always be 0),"3,4",none,3,t,f
90,"[[5642, 5643]]",Input_active_power_rate2_max_demand_and_occur_time,none,Float ,Xx.xxxx kw ,"3,4",none,2,t,f
91,"[[5644, 5646]]",Input_active_power_rate2_max_demand_occur_time,none,Dword,YYMMDDhhmmss (Second always be 0),"3,4",none,3,t,f
92,"[[5647, 5648]]",Input_active_power_rate3_max_demand_and_occur_time,none,Float ,Xx.xxxx kw ,"3,4",none,2,t,f
93,"[[5649, 5651]]",Input_active_power_rate3_max_demand_occur_time,none,Dword,YYMMDDhhmmss (Second always be 0),"3,4",none,3,t,f
94,"[[5652, 5653]]",Input_active_power_rate4_max_demand_and_occur_time,none,Float ,Xx.xxxx kw ,"3,4",none,2,t,f
95,"[[5654, 5656]]",Input_active_power_rate4_max_demand_occur_time,none,Dword,YYMMDDhhmmss (Second always be 0),"3,4",none,3,t,f
96,"[[5657, 5658]]",output_active_power_total_max_demand,none,Float ,Xx.xxxx kw ,"3,4",none,2,t,f
97,"[[5659, 5661]]",output_active_power_total_max_demand_occur_time,none,Dword,YYMMDDhhmmss (Second always be 0),"3,4",none,3,t,f
98,"[[5662, 5663]]",output_active_power_rate1_max_demand ,none,Float ,Xx.xxxx kw ,"3,4",none,2,t,f
99,"[[5664, 5666]]",output_active_power_rate1_max_demand_occur_time,none,Dword,YYMMDDhhmmss (Second always be 0),"3,4",none,3,t,f
100,"[[5667, 5668]]",output_active_power_rate2_max_demand ,none,Float ,Xx.xxxx kw ,"3,4",none,2,t,f
101,"[[5669, 5671]]",output_active_power_rate2_max_demand_occur_time,none,Dword,YYMMDDhhmmss (Second always be 0),"3,4",none,3,t,f
102,"[[5672, 5673]]",output_active_power_rate3_max_demand ,none,Float ,Xx.xxxx kw ,"3,4",none,2,t,f
103,"[[5674, 5676]]",output_active_power_rate3_max_demand_occur_time,none,Dword,YYMMDDhhmmss (Second always be 0),"3,4",none,3,t,f
104,"[[5677, 5678]]",output_active_power_rate4_max_demand ,none,Float ,Xx.xxxx kw ,"3,4",none,2,t,f
105,"[[5679, 5681]]",output_active_power_rate4_max_demand_occur_time,none,Dword,YYMMDDhhmmss (Second always be 0),"3,4",none,3,t,f
